티커,종목명,시장,시가총액,상장주식수,종가,거래량
204840,지엘팜텍,KOSDAQ,77471456994,77549006,999,646617
032540,TJ미디어,KOSDAQ,77320428100,20897413,3700,13230
027050,코리아나,KOSDAQ,77080000000,40000000,1927,327838
458350,에스팀,KOSDAQ,76846320000,8683200,8850,81865
145170,노브랜드,KOSDAQ,76764158700,16908405,4540,165929
042110,에스씨디,KOSDAQ,76650688504,48329564,1586,393711
446840,지슨,KOSDAQ,76510402287,55083083,1389,179994
010280,아이티센엔텍,KOSDAQ,76455323590,13024757,5870,202883
038060,루멘스,KOSDAQ,76291467434,48103069,1586,12631288
159580,제로투세븐,KOSDAQ,76224179980,20032636,3805,35869
033170,시그네틱스,KOSDAQ,76041018953,85728319,887,982482
087260,모바일어플라이언스,KOSDAQ,76010930435,32552861,2335,861656
261520,이지스,KOSDAQ,75747386000,10277800,7370,107641
067920,이글루,KOSDAQ,75433376340,10996119,6860,146069
039020,이건홀딩스,KOSDAQ,75320004515,22584709,3335,84587
457370,한켐,KOSDAQ,75300331560,8062134,9340,79032
288620,에스프리즘,KOSDAQ,75167233320,6979316,10770,455092
168330,내츄럴엔도텍,KOSDAQ,74941564000,31754900,2360,48513
099410,동방선기,KOSDAQ,74900000000,14000000,5350,202262
080010,이상네트웍스,KOSDAQ,74746539600,9835071,7600,18080
153710,옵티팜,KOSDAQ,74670086220,14669958,5090,70824
094850,참좋은여행,KOSDAQ,74620000000,14000000,5330,85191
900260,로스웰,KOSDAQ,74568123720,46029706,1620,19381
036000,예림당,KOSDAQ,74515886095,23034277,3235,42268
234100,폴라리스세원,KOSDAQ,74468346660,73008183,1020,0
043650,국순당,KOSDAQ,74379836160,17858304,4165,58570
092300,현우산업,KOSDAQ,74294750400,19049936,3900,436751
040610,SG&G,KOSDAQ,74139651300,34087196,2175,0
054930,유신,KOSDAQ,73950000000,3000000,24650,23566
333620,엔시스,KOSDAQ,73894408000,10556344,7000,81509
177900,쓰리에이로직스,KOSDAQ,73747416000,9627600,7660,336782
053050,지에스이,KOSDAQ,73619550635,29987597,2455,458126
317850,대모,KOSDAQ,73587872800,8324420,8840,108351
294140,레몬,KOSDAQ,73408528950,22414818,3275,82139
064240,홈캐스트,KOSDAQ,73378340865,34694251,2115,266103
072470,우리산업홀딩스,KOSDAQ,72716262850,18887341,3850,48674
318160,셀바이오휴먼텍,KOSDAQ,72674543780,9341201,7780,55378
331380,포커스에이아이,KOSDAQ,72601735360,32411489,2240,233640
373200,엑스플러스,KOSDAQ,72325014869,112480583,643,0
226330,신테카바이오,KOSDAQ,72290255500,24258475,2980,377904
012790,신일제약,KOSDAQ,72038354150,11986415,6010,33669
321820,아티스트컴퍼니,KOSDAQ,72032157120,15591376,4620,203318
104540,코렌텍,KOSDAQ,71983716200,12785740,5630,57651
170790,파이오링크,KOSDAQ,71906045400,6397335,11240,105072
347740,피엔케이피부임상연구센타,KOSDAQ,71875329520,30010576,2395,83316
234920,자이글,KOSDAQ,71849132100,13530910,5310,0
260930,씨티케이,KOSDAQ,71563886700,19341591,3700,140526
040350,크레오에스지,KOSDAQ,71445147852,97602661,732,0
184230,SGA솔루션즈,KOSDAQ,71207681584,94439896,754,0
024910,경창산업,KOSDAQ,70885810895,35819005,1979,296025
147760,피엠티,KOSDAQ,70761923640,10819866,6540,190631
010470,오리콤,KOSDAQ,70652795000,11975050,5900,47384
049550,잉크테크,KOSDAQ,70582597200,19606277,3600,34847
096630,에스코넥,KOSDAQ,70570255735,15876323,4445,2031784
0013V0,삼진식품,KOSDAQ,70521644160,9918656,7110,142098
950220,네오이뮨텍,KOSDAQ,70240491695,167638405,419,2269885
061250,화일약품,KOSDAQ,70118474720,8417584,8330,74078
376930,노을,KOSDAQ,70012655895,51291323,1365,1523962
332370,아이디피,KOSDAQ,69687061500,13273726,5250,6554
073640,테라사이언스,KOSDAQ,69571715580,106378770,654,0
039420,케이엘넷,KOSDAQ,69299921880,22946994,3020,177578
089790,제이티,KOSDAQ,69217092230,10315513,6710,1855579
052220,iMBC,KOSDAQ,69115000000,23000000,3005,183058
229000,젠큐릭스,KOSDAQ,69113086750,23428165,2950,6477936
459550,알트,KOSDAQ,68936364750,25067769,2750,459908
317530,에피소드컴퍼니,KOSDAQ,68929835080,17494882,3940,8294
007370,진양제약,KOSDAQ,68906111625,14134587,4875,51709
460870,에스엠씨지,KOSDAQ,68751066200,20073304,3425,205332
042940,상지건설,KOSDAQ,68355407120,6828712,10010,198414
419080,엔젯,KOSDAQ,68278025430,10685137,6390,1228660
033310,엠투엔,KOSDAQ,68272954848,39972456,1708,158792
256630,포인트엔지니어링,KOSDAQ,68146559600,57997072,1175,0
351330,이삭엔지니어링,KOSDAQ,68131634400,8288520,8220,134994
393210,토마토시스템,KOSDAQ,68001339120,15614544,4355,72595
352910,오비고,KOSDAQ,67864996740,12637802,5370,32003
036670,삼양케이씨아이,KOSDAQ,67845400000,11270000,6020,38508
015710,코콤,KOSDAQ,67843035000,17530500,3870,101492
109860,동일금속,KOSDAQ,67795000000,9100000,7450,3435
317870,엔바이오니아,KOSDAQ,67640496750,8841895,7650,76091
